owner,repo,workflow_id,badge_url,html_url_run,run_conclusion,commit_message,commit_id,repo_name,html_url_repo,stargazers_count,watchers_count,open_issues_count,forks_count
jtrecenti,goal500,6958637,https://github.com/jtrecenti/goal500/workflows/R-CMD-check/badge.svg,https://github.com/jtrecenti/goal500/actions/runs/5508338015,success,add forcats,460949ce3c9cc88f22de0c685e3567c84e0f6f62,jtrecenti/goal500,https://github.com/jtrecenti/goal500,2,2,0,0
jtrecenti,goal500,6958638,https://github.com/jtrecenti/goal500/workflows/update-readme/badge.svg,https://github.com/jtrecenti/goal500/actions/runs/6217108591,success,Update data,cbcd07efc08881d9d2a51456b95e1292bded6e49,jtrecenti/goal500,https://github.com/jtrecenti/goal500,2,2,0,0
jtrecenti,sragData,7313836,https://github.com/jtrecenti/sragData/workflows/update-data/badge.svg,https://github.com/jtrecenti/sragData/actions/runs/2547090343,failure,Update data,7dc963de44bd4aaa69351c39f5498fb74025f446,jtrecenti/sragData,https://github.com/jtrecenti/sragData,1,1,0,1
